Time_s,Frequency_Hz,RoCoF_Hz_s,Total_Load_pu,Action_Shed_Pct
1,50.0,0.0,1.1,0.0
2,50.0,0.0,1.1,0.0
3,50.0,0.0,1.1,0.0
4,50.0,0.0,1.1,0.0
5,50.0,0.0,1.1141,0.0
6,50.0,0.0,1.1141,0.0
7,50.0,0.0,1.1141,0.0
8,50.0,0.0,1.1141,0.0
9,50.0,0.0,1.1141,0.0
1,50.0,0.0,1.1,0.0
2,50.0,0.0,1.1,0.0
3,50.0,0.0,1.1,0.0
4,50.0,0.0,1.1,0.0
5,49.9551,-0.0449,1.1125,0.0
6,50.0642,0.109,1.1125,0.0
7,49.9379,-0.1263,1.1125,0.0
8,50.0478,0.11,1.1125,0.0
9,49.972,-0.0758,1.1125,0.0
1,50.0,0.0,1.1,0.0
2,50.0,0.0,1.1,0.0
3,50.0,0.0,1.1,0.0
4,50.0,0.0,1.1,0.0
5,50.0,0.0,1.1175,0.0
6,49.9442,-0.0558,1.1175,0.0
7,50.0614,0.1172,1.1175,0.0
8,49.9694,-0.092,1.1175,0.0
9,49.9944,0.0249,1.1175,0.0
10,50.0264,0.032,1.1303,0.0
11,49.9356,-0.0908,1.1303,0.0
12,50.0522,0.1166,1.1303,0.0
13,49.9871,-0.0651,1.1303,0.0
14,49.9809,-0.0062,1.1303,0.0
15,50.0294,0.0485,1.1424,0.0
16,49.9446,-0.0849,1.1424,0.0
17,50.0394,0.0948,1.1424,0.0
18,49.9964,-0.0429,1.1424,0.0
19,49.9795,-0.017,1.1424,0.0
20,50.0246,0.0451,1.161,0.0
21,49.9322,-0.0924,1.161,0.0
22,50.0526,0.1204,1.161,0.0
23,49.9936,-0.059,1.161,0.0
24,49.974,-0.0196,1.161,0.0
25,50.0314,0.0574,1.1777,0.0
26,49.9375,-0.094,1.1777,0.0
27,50.0411,0.1036,1.1777,0.0
28,50.0036,-0.0374,1.1777,0.0
29,49.9721,-0.0316,1.1777,0.0
30,50.0262,0.0541,1.197,0.0
31,49.938,-0.0881,1.197,0.0
32,50.0416,0.1036,1.197,0.0
33,50.005,-0.0367,1.197,0.0
34,49.971,-0.0339,1.197,0.0
35,50.0255,0.0545,1.2109,0.0
36,49.9575,-0.068,1.2109,0.0
37,50.0234,0.0659,1.2109,0.0
38,50.0098,-0.0136,1.2109,0.0
39,49.979,-0.0308,1.2109,0.0
40,50.0148,0.0358,1.2294,0.0
41,49.9496,-0.0652,1.2294,0.0
42,50.0357,0.0861,1.2294,0.0
43,50.006,-0.0297,1.2294,0.0
44,49.9749,-0.0311,1.2294,0.0
45,50.0202,0.0453,1.2522,0.0
46,49.9374,-0.0828,1.2522,0.0
47,50.0399,0.1026,1.2522,0.0
48,50.0128,-0.0272,1.2522,0.0
49,49.9675,-0.0453,1.2522,0.0
50,50.0209,0.0534,1.2729,0.0
51,49.9498,-0.0711,1.2729,0.0
52,50.0279,0.0781,1.2729,0.0
53,50.0157,-0.0123,1.2729,0.0
54,49.9739,-0.0417,1.2729,0.0
55,50.0131,0.0392,1.2983,0.0
56,49.9408,-0.0724,1.2983,0.0
57,50.0373,0.0965,1.2983,0.0
58,50.0168,-0.0205,1.2983,0.0
59,49.9682,-0.0486,1.2983,0.0
60,50.0156,0.0474,1.315,0.0
1,50.0,0.0,1.1,0.0
2,50.0,0.0,1.1,0.0
3,50.0,0.0,1.1,0.0
4,50.0,0.0,1.1,0.0
5,49.9372,-0.0628,1.1176,0.0
6,50.0898,0.1526,1.1176,0.0
7,49.913,-0.1768,1.1176,0.0
8,50.067,0.154,1.1176,0.0
9,49.9608,-0.1062,1.1176,0.0
10,49.948,-0.0128,1.136,0.0
11,50.1001,0.1521,1.136,0.0
12,49.8922,-0.2078,1.136,0.0
13,50.0906,0.1984,1.136,0.0
14,49.9411,-0.1495,1.136,0.0
15,49.9794,0.0383,1.1493,0.0
16,50.0683,0.0889,1.1493,0.0
17,49.9177,-0.1507,1.1493,0.0
18,50.0751,0.1574,1.1493,0.0
19,49.9474,-0.1277,1.1493,0.0
20,49.9535,0.0061,1.1703,0.0
21,50.1018,0.1483,1.1703,0.0
22,49.8873,-0.2145,1.1703,0.0
23,50.0976,0.2103,1.1703,0.0
24,49.9354,-0.1622,1.1703,0.0
25,49.9769,0.0415,1.1856,0.0
26,50.0767,0.0998,1.1856,0.0
27,49.9085,-0.1681,1.1856,0.0
28,50.0838,0.1753,1.1856,0.0
29,49.9418,-0.142,1.1856,0.0
30,49.9775,0.0357,1.2008,0.0
31,50.072,0.0945,1.2008,0.0
32,49.9151,-0.1569,1.2008,0.0
33,50.0778,0.1627,1.2008,0.0
34,49.9465,-0.1313,1.2008,0.0
35,49.9792,0.0327,1.2148,0.0
36,50.067,0.0878,1.2148,0.0
37,49.9215,-0.1455,1.2148,0.0
38,50.0722,0.1507,1.2148,0.0
39,49.9507,-0.1215,1.2148,0.0
40,49.9755,0.0248,1.2293,0.0
41,50.0699,0.0944,1.2293,0.0
42,49.92,-0.1499,1.2293,0.0
43,50.0728,0.1528,1.2293,0.0
44,49.9512,-0.1216,1.2293,0.0
45,49.9713,0.0201,1.2447,0.0
46,50.076,0.1048,1.2447,0.0
47,49.9144,-0.1616,1.2447,0.0
48,50.0773,0.1628,1.2447,0.0
49,49.9488,-0.1285,1.2447,0.0
50,49.9532,0.0044,1.2654,0.0
51,50.1038,0.1506,1.2654,0.0
52,49.8871,-0.2167,1.2654,0.0
53,50.099,0.2119,1.2654,0.0
54,49.9359,-0.1631,1.2654,0.0
55,49.95,0.0141,1.2884,0.0
56,50.1171,0.1671,1.2884,0.0
57,49.8707,-0.2464,1.2884,0.0
58,50.1143,0.2435,1.2884,0.0
59,49.9251,-0.1892,1.2884,0.0
60,49.9605,0.0353,1.3101,0.0
1,50.0,0.0,1.1,0.0
2,50.0,0.0,1.1,0.0
3,50.0,0.0,1.1,0.0
4,50.0,0.0,1.1,0.0
5,45.4072,-4.5928,0.8093,0.3
6,44.5089,-0.8983,0.8093,0.0
7,44.8577,0.3488,0.8093,0.0
8,45.9817,1.124,0.8093,0.0
9,47.5604,1.5787,0.8093,0.0
10,49.3227,1.7623,0.8246,0.0
11,51.2032,1.8805,0.8246,0.0
12,51.6019,0.3986,0.8246,0.0
13,51.0549,-0.5469,0.8246,0.0
14,49.9287,-1.1262,0.8246,0.0
15,49.9217,-0.0071,0.8384,0.0
16,50.6695,0.7479,0.8384,0.0
17,50.3706,-0.2989,0.8384,0.0
18,49.5877,-0.7829,0.8384,0.0
19,49.8568,0.2691,0.8384,0.0
20,50.7295,0.8728,0.8525,0.0
21,50.5075,-0.222,0.8525,0.0
